Time,Azimuth,Zenith
0.0004,18.55800987,91.16277731
0.0008,16.75563835,92.08001994
0.0012,13.89051668,92.5481235
0.0016,10.16525237,92.43930185
0.002,5.848095531,91.71799216
0.0024,1.253527857,90.43350265
0.0028,-3.282084223,88.69364189
0.0032,-7.427949886,86.63568398
0.0036,-10.88818402,84.41116187
0.004,-13.42970693,82.18794937
0.0044,-14.90407104,80.15894851
0.0048,-15.26086944,78.54288414
0.0052,-14.55272918,77.56862818
0.0056,-12.92984377,77.44298596
0.006,-10.61866128,78.30919639
0.0064,-7.883490207,80.20904889
0.0068,-4.982961618,83.06311271
0.0072,-2.141860025,86.67785675
0.0076,0.451087753,90.7770909
0.008,2.630060254,95.04491588
0.0084,4.245595341,99.16423664
0.0088,5.179057683,102.8405432
0.0092,5.375397459,105.8117465
0.0096,4.877926248,107.8539237
0.01,3.844052615,108.7931141
0.0104,2.52532129,108.5247984
0.0108,1.210669861,107.0329287
0.0112,0.154716821,104.3983607
0.0116,-0.474633913,100.7937193
0.012,-0.607187901,96.46949629
0.0124,-0.24484176,91.73631924
0.0128,0.576011588,86.94321593
0.0132,1.807149698,82.44938219
0.0136,3.382369432,78.5899904
0.014,5.189277137,75.64066712
0.0144,7.043406825,73.78697861
0.0148,8.691566868,73.10557245
0.0152,9.853300362,73.56304987
0.0156,10.28276127,75.03426682
0.016,9.821408832,77.33326487
0.0164,8.422999012,80.24363469
0.0168,6.150621829,83.53673006
0.0172,3.155140363,86.97511397
0.0176,-0.353863926,90.30963343
0.018,-4.133705472,93.28479078
0.0184,-7.923415912,95.66295419
0.0188,-11.45013692,97.26432027
0.0192,-14.43840309,98.0060125
0.0196,-16.63096319,97.92118196
0.02,-17.81728401,97.14931083
0.0204,-17.85824109,95.90312945
0.0208,-16.70026966,94.42523828
0.0212,-14.38087169,92.94675593
0.0216,-11.02951024,91.65653414
0.022,-6.863735692,90.68657921
0.0224,-2.176647552,90.11521905
0.0228,2.687100433,89.98150393
0.0232,7.364868189,90.29682421
0.0236,11.51300235,91.0421173
0.024,14.83968271,92.15221844
0.0244,17.12795731,93.50081889
0.0248,18.24749676,94.89943326
0.0252,18.15797936,96.11493252
0.0256,16.90814483,96.90248982
0.026,14.63109676,97.04768803
0.0264,11.53223741,96.40935899
0.0268,7.867592888,94.95124022
0.0272,3.917752046,92.74992144
0.0276,-0.032917717,89.97450364
0.028,-3.708467772,86.84779019
0.0284,-6.852129203,83.60864842
0.0288,-9.244398347,80.49136299
0.0292,-10.72909221,77.72330928
0.0296,-11.24032402,75.52909773
0.03,-10.82135095,74.12654284
0.0304,-9.626226848,73.70685231
0.0308,-7.895838529,74.40223696
0.0312,-5.907902406,76.25276721
0.0316,-3.917715135,79.18618175
0.032,-2.117864293,83.01840124
0.0324,-0.634351539,87.47363577
0.0328,0.44933052,92.21732401
0.0332,1.066527973,96.89350907
0.0336,1.163821159,101.1588212
0.034,0.72541447,104.7083987
0.0344,-0.188673199,107.2946186
0.0348,-1.416990972,108.7429166
0.0352,-2.707644362,108.9659361
0.0356,-3.770890366,107.9709601
0.036,-4.351752378,105.8547623
0.0364,-4.287881513,102.787509
0.0368,-3.529626531,98.99486936
0.0372,-2.12306757,94.74598166
0.0376,-0.173900935,90.34567381
0.038,2.185092102,86.12161476
0.0384,4.806111926,82.39807519
0.0388,7.516097766,79.45677057
0.0392,10.10023842,77.49499791
0.0396,12.30273859,76.59574748
0.04,13.85614192,76.72143019
0.0404,14.52799006,77.73356086
0.0408,14.16257175,79.42993914
0.0412,12.70414889,81.58493245
0.0416,10.20223892,83.97981633
0.042,6.804722232,86.41620677
0.0424,2.741943036,88.71383822
0.0428,-1.696616735,90.70279118
0.0432,-6.189464536,92.22506645
